,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
283,version_id_30,1047,768,965,1304,1409,1098.6
284,browser_id_31,401,401,477,634,683,519.2
285,version_id_31,1797,1246,1645,2666,2947,2060.2
286,screen_width,945,647,789,942,932,851.0
287,screen_height,1314,1023,1138,1513,1585,1314.6
288,nulls,3080,1945,1966,2350,2436,2355.4
289,TransactionAmt_decimal,7086,4498,5264,7980,8820,6729.6
290,card1_count_full,21080,14952,17771,25231,27827,21372.2
291,Transaction_day_of_week,6777,4856,5108,7305,7870,6383.2
292,Transaction_hour,12738,7191,7818,10926,11456,10025.8
293,id_02__id_20,5211,2979,2536,3289,3425,3488.0
294,id_02__D8,3699,2189,1946,2073,2266,2434.6
295,D11__DeviceInfo,3442,2313,2611,4114,4829,3461.8
296,DeviceInfo__P_emaildomain,6098,4369,4995,7168,7875,6101.0
297,P_emaildomain__C2,9941,7207,8468,11388,12848,9970.4
298,card2__dist1,14308,9734,10485,14853,17226,13321.2
299,card1__card5,19182,13614,15526,21265,23454,18608.2
300,card2__id_20,11171,7383,8211,10989,11724,9895.6
301,card5__P_emaildomain,11502,7878,9810,13907,15387,11696.8
302,addr1__card1,20005,13281,16429,22136,24486,19267.4
303,id_36_count_full,10,16,44,66,98,46.8
304,id_01_count_dist,1302,776,1059,1497,1845,1295.8
305,id_31_count_dist,3170,2251,2804,3804,4567,3319.2
306,id_33_count_dist,1397,1207,1374,1810,1856,1528.8
307,id_36_count_dist,21,9,39,53,47,33.8
308,multiple_10_0,33,38,89,124,74,71.6
309,multiple_10_100,106,118,172,221,159,155.2
310,multiple_10_200,196,229,317,344,292,275.6
311,multiple_5_0,113,41,40,182,223,119.8
312,multiple_5_100,257,253,320,278,245,270.6
313,multiple_5_200,481,447,482,452,486,469.6
